from,to,weight,geometry
7676453724,3122484910,5.033460748672915,"LINESTRING (112.7959767 -7.2891339, 112.7959695 -7.2890892)"
7676453725,7676453724,30.5364271582705,"LINESTRING (112.7957021 -7.2891689, 112.7959767 -7.2891339)"
7676453726,7676453727,30.297132307221947,"LINESTRING (112.795734 -7.2893535, 112.796005 -7.289309)"
7676453727,7676453726,30.297132307221947,"LINESTRING (112.796005 -7.289309, 112.795734 -7.2893535)"
7676453727,6402008201,43.22282701496794,"LINESTRING (112.796005 -7.289309, 112.7960671 -7.2896928)"
7676453727,7676453724,19.718875802284874,"LINESTRING (112.796005 -7.289309, 112.7959767 -7.2891339)"
6618556525,1722835470,50.516219329682365,"LINESTRING (112.8012914 -7.2862461, 112.801161 -7.2866816)"
6618556525,6618556518,32.97539272855374,"LINESTRING (112.8012914 -7.2862461, 112.8013836 -7.285964)"
6618556525,6618556600,157.02794073402302,"LINESTRING (112.8012914 -7.2862461, 112.8011068 -7.2861728, 112.8009894 -7.2861289, 112.8009291 -7.2861222, 112.8008527 -7.2861143, 112.8007829 -7.2861103, 112.8006233 -7.2860877, 112.8005067 -7.2860531, 112.7999291 -7.2858615)"
6402007946,6402007948,16.47861341147332,"LINESTRING (112.7919337 -7.277292, 112.7918034 -7.2773645)"
6402007946,6402007948,26.526380438357087,"LINESTRING (112.7919337 -7.277292, 112.7918773 -7.2772565, 112.7918579 -7.2772519, 112.7918217 -7.2772632, 112.7917935 -7.2772878, 112.7917935 -7.2773124, 112.7918034 -7.2773645)"
6402007946,6402008317,30.66540065641254,"LINESTRING (112.7919337 -7.277292, 112.7920356 -7.2772346, 112.7920601 -7.2772178, 112.7920718 -7.2771894, 112.7920736 -7.2770901)"
6402007946,12777683083,35.921336104125075,"LINESTRING (112.7919337 -7.277292, 112.792057 -7.277590999999999)"
6402007948,6402007946,16.47861341147332,"LINESTRING (112.7918034 -7.2773645, 112.7919337 -7.277292)"
6402007948,6402007946,26.526380438357087,"LINESTRING (112.7918034 -7.2773645, 112.7917935 -7.2773124, 112.7917935 -7.2772878, 112.7918217 -7.2772632, 112.7918579 -7.2772519, 112.7918773 -7.2772565, 112.7919337 -7.277292)"
6402007948,2110228012,40.68452251616017,"LINESTRING (112.7918034 -7.2773645, 112.7914817 -7.2775435)"
6402007963,5555705603,88.4741381321467,"LINESTRING (112.7958437 -7.2850766, 112.7966443 -7.2851259)"
